"","rcc","gcc","bcc","brt","night.filtered","max.filtered","doy","time","DATE_POSIX"
"39",0.447019436517344,0.322518212366793,0.232232959561515,287.789663585022,0.322518212366793,0.324333205468886,2016-05-09,2016-07-19,2016-05-09
"40",0.445479679041221,0.323715836240801,0.230465351362338,292.098333029207,0.323715836240801,0.326636159938966,2016-05-10,2016-07-19,2016-05-10
"41",0.452322760292095,0.326394628132974,0.220899978624475,281.440840247738,0.326394628132974,0.334024164613297,2016-05-11,2016-07-19,2016-05-11
"42",0.458990355705963,0.333937126064715,0.207420656316657,278.88957602727,0.333937126064715,0.343777293255499,2016-05-12,2016-07-19,2016-05-12
"43",0.441887517530328,0.342188313571893,0.215092910841864,287.696363209797,0.342188313571893,0.346158040244324,2016-05-13,2016-07-19,2016-05-13
"44",0.452889828885641,0.345176324460206,0.20111712780015,289.313142403253,0.345176324460206,0.348604065024545,2016-05-14,2016-07-19,2016-05-14
"45",0.459847615014909,0.348292900492175,0.191067741579046,277.616282368384,0.348292900492175,0.348604065024545,2016-05-15,2016-07-19,2016-05-15
"46",0.452436100160971,0.346656458764045,0.200427112467277,285.944679141474,0.346656458764045,0.350799477418551,2016-05-16,2016-07-19,2016-05-16
"47",0.455812945516713,0.35076497884849,0.192432376617915,284.638489222423,0.35076497884849,0.353929366183822,2016-05-17,2016-07-19,2016-05-17
"48",0.470709538878333,0.35381623890845,0.175474222213218,291.388190590685,0.35381623890845,0.361155495380186,2016-05-18,2016-07-19,2016-05-18
"49",0.467130197378689,0.359924205277017,0.173659670532495,275.686557048246,0.359924205277017,0.36298629133599,2016-05-19,2016-07-19,2016-05-19
"50",0.477184560961612,0.360568424526533,0.161075640238324,280.369127228621,0.360568424526533,0.370763774548408,2016-05-20,2016-07-19,2016-05-20
"51",0.461977339826499,0.370240319570999,0.168923157825129,279.088378126816,0.370240319570999,0.377445134224849,2016-05-21,2016-07-19,2016-05-21
"52",0.455110508684267,0.377251068432714,0.169223934572575,276.837205450968,0.377251068432714,0.387781427277791,2016-05-22,2016-07-19,2016-05-22
"53",0.452970187001475,0.38658831754633,0.160441495452194,278.303408312006,0.38658831754633,0.393889678695426,2016-05-23,2016-07-19,2016-05-23
"54",0.430291783164517,0.393271808389251,0.175624639728223,268.721262733059,0.393271808389251,0.401878440576608,2016-05-24,2016-07-19,2016-05-24
"55",0.439990189463386,0.400875460840441,0.158777788291747,267.22206394016,0.400875460840441,0.411480155467841,2016-05-25,2016-07-19,2016-05-25
